Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
DOGE;1.07.2020;0,002353646;152549213,6;294727829,4;0,09;0,87;93,35
DOGE;1.08.2020;0,003688638;150687884,1;463485084,4;0,1;0,36;92,14
DOGE;1.09.2020;0,003255985;81863763,65;410502858,9;0,09;1,26;93,89
DOGE;1.10.2020;0,00261584;116194992,3;330888014,3;0,09;0,83;94,04
DOGE;1.11.2020;0,00258175;45528681,72;327678834,6;0,09;1,21;91,87
DOGE;1.12.2020;0,0033347;80163603,19;424620891,5;0,09;0,81;89,94
DOGE;1.01.2021;0,00568496;228961514,9;726323310,7;0,09;1,18;90,58
DOGE;1.02.2021;0,03487468;6319224026;4470660189;0,08;1,22;90,88
DOGE;1.03.2021;0,05059866;1494427207;6505875328;0,07;1,16;93,23
DOGE;1.04.2021;0,06198606;5816046822;7996434168;0,07;1,71;91,28
DOGE;1.05.2021;0,39298743;10123343703;50860335491;0,06;1,33;90,03
DOGE;1.06.2021;0,37007655;5796031087;48050998401;0,08;0,21;92,44
DOGE;1.07.2021;0,24454948;2463946548;31852848923;0,1;0,76;92,17
