Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
XRP;1.07.2020;0,176975855;1115989502;7832562653;0,09;0,87;93,35
XRP;1.08.2020;0,289528999;3167874461;12989037258;0,1;0,36;92,14
XRP;1.09.2020;0,295695506;1730740377;13304778881;0,09;1,26;93,89
XRP;1.10.2020;0,23824885;1725071846;10759891553;0,09;0,83;94,04
XRP;1.11.2020;0,23979745;1855741696;10859147268;0,09;1,21;91,87
XRP;1.12.2020;0,61292341;16985355820;27786451402;0,09;0,81;89,94
XRP;1.01.2021;0,23744438;5888429287;10780931627;0,09;1,18;90,58
XRP;1.02.2021;0,37150866;34974233953;16867989812;0,08;1,22;90,88
XRP;1.03.2021;0,44724414;3547533777;20306685603;0,07;1,16;93,23
XRP;1.04.2021;0,57929188;4725008531;26302184999;0,07;1,71;91,28
XRP;1.05.2021;1,65102495;8206771323;74963184004;0,06;1,33;90,03
XRP;1.06.2021;1,01100086;5606414479;46658714117;0,08;0,21;92,44
XRP;1.07.2021;0,66118021;2553971177;30511435260;0,1;0,76;92,17
