Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
AAVE;1.11.2020;30,65727643;49568339,16;345465544;0,09;1,21;91,87
AAVE;1.12.2020;74,86836458;268968536,9;891921516;0,09;0,81;89,94
AAVE;1.01.2021;90,34967103;202515778,5;1087592822;0,09;1,18;90,58
AAVE;1.02.2021;295,6613135;639510002,1;3643317248;0,08;1,22;90,88
AAVE;1.03.2021;385,4196888;743260217;4787397637;0,07;1,16;93,23
AAVE;1.04.2021;377,6117993;342371946,9;4706655286;0,07;1,71;91,28
AAVE;1.05.2021;503,8656838;876659862,6;6292297830;0,06;1,33;90,03
AAVE;1.06.2021;372,8724613;599657382,4;4767779049;0,08;0,21;92,44
AAVE;1.07.2021;231,626362;330715116,2;2971685385;0,1;0,76;92,17
